sourceAddress,date,amount,destinationWallet,addressGroup
14HDV1HQ4FQCFqsc77ABZ8YLbxH7YCm3Qx,"2020-02-10 17:07:39",0.249,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
bc1qkhsw2k3ef0ff63m2lh3fse2ghdc7djq0zy69ew,"2020-02-07 20:31:22",0.0002,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
bc1qg5lvj9xwge86fkpp0z2zjrwuhn2eav344pluer,"2020-02-07 18:34:53",0.4704,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
3DdBZ734DjaqBf29PvjxWv9mvU6VaQEs8H,"2020-02-04 20:07:25",0.506,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
39evE2CFZRqyuqRCkXXRUw1zpjYTvQdd9E,"2020-02-01 19:29:13",0.32098356,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
"1CiF34VeLBQ5vU7P5dVZYS67h9MvkFpKcg, 18LQTnzBK66BpJbro6MJ9HktgHAv9HH2Ht","2020-02-01 18:42:39",0.4905,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
3CYyt4Ua5RV3VhWYtYvUaBLPEUfrvqX1oG,"2020-01-27 18:28:29",0.24908607,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
12VpSAB23i3uES9zgCArPRWNQanYLENAKe,"2020-01-25 23:19:00",0.29,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
"1FigfvffSuVKU26NbanUosym29gR3ibn57, 1FigfvffSuVKU26NbanUosym29gR3ibn57","2020-01-25 22:50:22",0.01,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
325aHW82k4RSZQ16vD26dUm2DGF3U6uAdy,"2020-01-14 10:17:48",0.36579501,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
3HA1qyq6qLZsFq427vrqWrMczmsNCZnwyg,"2020-01-14 09:29:36",0.4694,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
"3N9vAnHTF6FRuCt4isM68wSzDFDYd4rcaj, 3QGxK3Bi9mVJX9kdtPRBPvvFkw6PG5FyxU, 3QWCfXj9sj25WNpzUvdzbvxKSRdb2YTRaW, 3BgFqsiyqhAGmgvNsPNaE6TZvc7pzmffGP, 3EeqN8RZLKkgeSEiME62e6r6vVWjDtdafo, 32vbceUBSLWU5BTQq8fJRAEbgyewUfQT81, 3LDU27ToBhjdxZ63PwuTQiU35AAgrRpkPf, 3KVf3wLyggui7tTJSAXUY72QAe9vnuq4KE, 3FFW9LFrPznXQnonsgdBeLQbHvXNALGAzt, 33kp5o1uJia8zVXtUv1G64d2c3Y3z4hTZU, 3KfDY1D4drM1gi1nE8Wyam8NZnX1DPvJVU, 351gAYVuMAWr3tBL7cGfiAay2aWT1ANmdM, 3FxCxGQiNj8RY6XqELR47FNaVcWQ91BmWa, 3P8dYPaYQYFjCNSimSRytis1Yuu7yco3Ab, 3KHE1hmfGGRq21TkBTYyVsMoZZTn772Fsf, 3AMRyM7zbBAhyAgbqBTGPyB5M5vqzdgEcy, 36BJUbzWchsz6RVYJgRT3rmBbGuHacDWm7, 37FDHzc3QWFisKmcYD7qSyyNVt5CQC5zNW, 3LsLHKZALpHXXcoUqfzMeiqgYSs5FsSaU7","2020-01-13 03:26:35",0.24648543,1DUBrMcH9T13oFSa59jxtFDM5eWTP8v2yc,AKo
