sourceAddress,date,amount,destinationWallet,addressGroup
"38Jf8VPN7gPykxc754uCNd4hv1W6JWaYEP, 38Jf8VPN7gPykxc754uCNd4hv1W6JWaYEP","2021-02-09 00:41:59",43.28144495,bc1qnj6yephp3jt204f8yn02wvydn47yd42w63587c,Conti
"33JsWE9pkYibJAm3w4ddgYctZCBtpQmqjK, 33JsWE9pkYibJAm3w4ddgYctZCBtpQmqjK","2021-01-19 19:20:06",12.14994857,bc1qvpt6tnce3knl5vr5v3k985uwr4mm85hc62ydqs,Conti
"bc1qwzdluv9jke4rdwdjcl0d4t8x8q4nd0mhytstse, bc1qwzdluv9jke4rdwdjcl0d4t8x8q4nd0mhytstse","2021-06-16 23:19:42",6.617,bc1qmjavw2hsqdfet4mv5j83evy0z3w06rantrs6an,Conti
"bc1q8rpwrwyx4rjlat7n2usnfy3snzkvuhxuct7gd8, bc1q8rpwrwyx4rjlat7n2usnfy3snzkvuhxuct7gd8","2021-06-16 19:47:07",6.0,bc1qmjavw2hsqdfet4mv5j83evy0z3w06rantrs6an,Conti
"38jAzTAiE8FiXQH1PPEiBkurdAviCWaTFW, 38jAzTAiE8FiXQH1PPEiBkurdAviCWaTFW","2021-03-31 18:53:03",3.19029232,bc1q65njz3pfw9kjjvcetkexsl0l922wtd2wz2p46p,Conti
3MMc2BDYFLyQvcBVUwVMZvXF6Beg9SyQp2,"2021-03-26 20:47:03",92.24656707,bc1q65njz3pfw9kjjvcetkexsl0l922wtd2wz2p46p,Conti
"bc1q3f5jy3rh5509kfvaxgx6kp58haueta730mxvpt, 1CA3vHVMgQVwpi1vnxTLiCVsqHjqVdy7aM","2021-03-26 19:47:32",1.865,bc1q65njz3pfw9kjjvcetkexsl0l922wtd2wz2p46p,Conti
"bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx","2021-05-13 04:38:25",50.74881968,1JWnZmkJwJSK6F21nypCAGzsR6TVhPRA4P,Conti
"3EeGmyJr3VXAYJKHhNSCWfcVm19HzQTM6y, 38L9ENANEZasrhZHmPpBVT6XU9YWoPddXU, 39LdAbQJotkjf1sBfkHoShBQ6e7Gcsg8Nu, 3BsKnXgaVkLLFbqWqthRAkeFRPDbtU3XjS, 38u8mupjEPstxL5Ea5ZvHvjF7UiY7bcix2","2022-01-20 14:14:25",15.4114765,1MuBnT25CQeTFYkx1tHP4Fa5rKbc4rC9uF,Conti
"1CpqHkXXzRVVDMc169sHt9gemX1kz8tEEB, 1Gpx6hEiFmjivYDEnQ3s4SsRHyXJfaRMxj, 1sF2EtTp7EkSFo1BBf93jiaMsTpqNgoqg, 1BLsQywdhme62GHXXUPmAgHriz4rPZthHR","2017-12-04 13:58:53",0.1665,1MuBnT25CQeTFYkx1tHP4Fa5rKbc4rC9uF,Conti
"3PJmhpuZPzQ9HARZkVJZZHnDFU8Hv69BVx, 3PJmhpuZPzQ9HARZkVJZZHnDFU8Hv69BVx","2021-05-06 20:18:34",8.00275566,bc1qtcld00s09n944yjgyjfd6ujy5gespztc0umy2e,Conti
"bc1qcxnc54t8ecyk8ew7wn6hdtp6ezuk95pqk0p6pa, bc1qc4kqzp7v00qlsfqsf7dcxhwyczt4s7akhy786e","2021-05-21 00:09:32",2.46426081,bc1q7ld076gjadenuvuknv2c5a9lqslfk8verdkf07,Conti
bc1qh3e5hjgnv2keffth8mv4lpzvqfatsla7fv8a4z,"2021-06-07 16:51:51",0.68262,bc1qq0mn6wgm8wxr7j2af4j2q3t7stscesqf2afv6v,Conti
bc1qlkneme4gxravnmtev2z23v6qmypqea9smpzegz,"2021-06-06 20:45:42",4.1433,bc1qq0mn6wgm8wxr7j2af4j2q3t7stscesqf2afv6v,Conti
bc1qqpr7n6xgfczvd07w5xwq4ujlcw9ad7tmmxp4kt,"2021-06-05 17:24:18",4.081,bc1qq0mn6wgm8wxr7j2af4j2q3t7stscesqf2afv6v,Conti
"3JDdUMZfURiSomUoe26AUVmvpaomEuUcqA, 3QCk4hB2w6VkhgXGyys27AoFoxp2jP3gzJ, 3PhehZqqcDCUEmMeZSxqqDWbFa7Mj1H2LN","2021-06-19 03:41:09",9.69536871,bc1q2muhfugejgft7smu0ejze22het2rkmnpdccx5j,Conti
"3NDxf8pUrkrQwTcrcgx9z2CnHPazNcbAZG, 3NDxf8pUrkrQwTcrcgx9z2CnHPazNcbAZG","2021-06-02 22:19:11",4.47463166,bc1qzwe9gedyc88hnm8m265g780qy0ezh7z4va0z5c,Conti
"38wMan52fAKbu6DNaKkXUR4U3eUEyuSoXK, 38wMan52fAKbu6DNaKkXUR4U3eUEyuSoXK","2021-01-25 17:58:52",4.72469156,bc1qdak2ewrf9n295akue9r538pcsuh6k3gm4j5gk3,Conti
"bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, 16mLMvojvZKPqpqvCQaJTyq6YfmbaEAYCd, bc1qzpaud6pgmfrqrmmcxugt7ue342argaeqzyn03q, bc1qkmpfylfhg5vgcxlywk7vqj6535rt5e26rdn20v, bc1q50f3c2z2r4cdlm6thjcplrcaxv3njc4x24mu4h, bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, bc1q50kfnyhte9y03jklvz39j20zuk77vcw43wsqml, bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, bc1qj8h6uvyjwjgsvstqlezf96qlkl06tm26ajakp2","2021-05-21 19:14:02",5.42840261,bc1qp77llzx4q3t5dmwwwkzwg3aw30z3l924x7vlv5,Conti
"38yTLS3yg5NXZgtdaMqHq7UQa5FfqEM7S1, 38yTLS3yg5NXZgtdaMqHq7UQa5FfqEM7S1","2021-04-06 20:49:24",2.93672438,bc1ql8kpdvy5pns40lvfeuewz930e7nkh3xa5e96k7,Conti
"bc1q7xekrtk88yj22842cr7s2p2wpxatq99637axny, bc1q7xekrtk88yj22842cr7s2p2wpxatq99637axny","2021-08-18 22:31:17",3.3495,bc1qjndxpuddlssczk336tdd7wcawlj2qws7p77p2k,Conti
"bc1qtafdgth34jyh82nhmx3m7ft245g9zrdhq0udut, bc1qtafdgth34jyh82nhmx3m7ft245g9zrdhq0udut, bc1qtafdgth34jyh82nhmx3m7ft245g9zrdhq0udut","2021-06-17 20:15:19",2.652,bc1qprpt8gm0h0jyj6py406xz9gucl40j8vusumaxx,Conti
"bc1qwnqdsee2qyuy5784u6h5ar0eg7d9edg89lyrm6, bc1qwnqdsee2qyuy5784u6h5ar0eg7d9edg89lyrm6","2021-08-03 22:43:20",2.61,bc1q22hz66x8uth9xadfxmn5fe2s9kdv7zg8rpjauw,Conti
bc1quy4uemv28mk0577fh75r2ksygpgwt3f0vu84pn,"2021-08-03 14:54:28",1.621529,bc1qnf273myysxjw23g9hze4vcu3uqkget9ra70hen,Conti
"bc1qekdg0ur3qsu46lkz2j5n20nd453ddw9py8952e, bc1qu6kejzspxssg7lz93jrq6a0zflxtxm6h4zzl0u","2021-06-30 21:35:52",12.42944494,bc1qnf273myysxjw23g9hze4vcu3uqkget9ra70hen,Conti
bc1qr6jhdjz6e3z78caneyvnqevkpxm82x3muajyjz,"2021-06-30 20:39:57",0.00028653,bc1qnf273myysxjw23g9hze4vcu3uqkget9ra70hen,Conti
bc1q0kgmr5wfl4739xkp6smmawx8va60hejp2cfs22,"2021-01-30 08:46:40",6.002,bc1qnf273myysxjw23g9hze4vcu3uqkget9ra70hen,Conti
bc1qa4flzpudjha8xlwlycctd5fq4v9ejhk3wuqvu90cmstt6k96pwusjyhatx,"2021-10-14 15:35:03",0.00256,bc1qw5er3p5xayypk00l44p944xk4xhfgjgm0jjswc,Conti
bc1qyt85grtys5vv8amulwvttpgslfrp6f94k43f82,"2021-05-13 00:43:17",0.01,bc1qvzs0kefvwgtx3vjdexznw0s5zq2st45uj5pyk0,Conti
"bc1qyhl3mamwjhagwgnf58328fhvx6vegv2uajvm6u, 18XqFAoXs6hBrCxF7mdv2FCvqXKGTLERgm","2021-09-13 20:05:32",3.12748571,bc1qq0r3px80wzfa2cfe9r0xfqa2fpmmag9nhrekhw,Conti
"bc1qsql84rqra4x2cdkkl32xkjwjsn9j26x8nr4kec, bc1qsql84rqra4x2cdkkl32xkjwjsn9j26x8nr4kec","2021-05-07 22:12:15",7.87,bc1q7r8ars6zxml0k4ep5489vga9yudpvqaecywvw5,Conti
"bc1qhdylzwhahrphgx902wv5vlueppaa8gk7r9ck98, bc1qlnva26xud8dz7qvfknqn0sxpkwwktklv38njqf","2021-05-13 16:24:17",10.00962724,bc1qg44mhye7mzrlsqza97kgsl0kmppcvfz3lxnt32,Conti
bc1qc4kqzp7v00qlsfqsf7dcxhwyczt4s7akhy786e,"2021-05-13 16:24:17",0.22034878,bc1qg44mhye7mzrlsqza97kgsl0kmppcvfz3lxnt32,Conti
