sourceAddress,date,amount,destinationWallet,addressGroup
1noncerQ2k6WtiLVA86SvQ6HzGvSB6PDD,14/02/2015 01:43,0.0005,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"16CmSoFCsBsySbCG6cPhhdaaPDRYvm1i2y, 1DD8kwUewbD84fP2EHj7fXiDpYghFtkCA9, 19gmkj65o3FpmpyD56UHoyAMrEwSx9AkML",11/02/2015 08:38,0.5,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1dice97ECuByXAvqXpaYzSaQuPVvrtmz6, 1bankuojE6NXKH5L3QoNSvQTYxmHt2QtK",02/02/2015 00:47,0.03904,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"19GDSiD6sPJ8MvRS5HxSm1cPkF2kKJpfK5, 19GDSiD6sPJ8MvRS5HxSm1cPkF2kKJpfK5",02/02/2015 00:42,0.02976818,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1dice97ECuByXAvqXpaYzSaQuPVvrtmz6, 1bankuojE6NXKH5L3QoNSvQTYxmHt2QtK",01/02/2015 22:40,0.07045646,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1dice97ECuByXAvqXpaYzSaQuPVvrtmz6, 1bankPtut9LVtCx7ndnrK6MN3UD1FKAq8",01/02/2015 22:07,0.03615338,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1dice97ECuByXAvqXpaYzSaQuPVvrtmz6, 1bankBgbgBbo5gqJBub7soNjaeto96C2K",01/02/2015 17:57,0.03904,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1KpP1YGGxPHKTLgET82JBngcsBuifp3noW, 1BonUSgFnTiRx1HstKeNd5dZEomBRrBN46",31/01/2015 21:49,0.02028392,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1bank7CfdrGaWNLFTL7Qj8XN5cQayCAjd, 1dice97ECuByXAvqXpaYzSaQuPVvrtmz6",31/01/2015 20:04,0.00039392,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1KpP1YGGxPHKTLgET82JBngcsBuifp3noW, 1KpP1YGGxPHKTLgET82JBngcsBuifp3noW",31/01/2015 19:44,0.00059392,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1bankPtut9LVtCx7ndnrK6MN3UD1FKAq8, 1dice97ECuByXAvqXpaYzSaQuPVvrtmz6",31/01/2015 17:46,0.0000546,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1bankkJ7zAj5xT3SpNWxibZzVMWTbeudb, 1dice97ECuByXAvqXpaYzSaQuPVvrtmz6, 1bankkjx5E9Xqd5auZ3ST8Q9PmXEB6VXJ",31/01/2015 16:37,0.01947,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1KpP1YGGxPHKTLgET82JBngcsBuifp3noW, 1EPTQshxWPj6Ef4GNvugeQ26go5zpUMeWT",31/01/2015 16:28,0.00059387,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"19GDSiD6sPJ8MvRS5HxSm1cPkF2kKJpfK5, 1BT3DBmWk4L9sroZ2m2oSJhcy6Dzsdx7bf, 18S4TTQ4sAu16LghjWihY2cUcwRhSh5TnD, 19fzAYk4vj1yHiaoe4mLq11982SbWbYbh6",29/01/2015 22:49,0.00067846,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1LuckyR1fFHEsXYyx5QK4UFzv3PEAepPMK, 1NxaBCFQwejSZbQfWcYNwgqML5wWoE3rK4",21/01/2015 02:27,0.0999,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
"1dice97ECuByXAvqXpaYzSaQuPVvrtmz6, 1bankHX7RNnkoudbFVW7CMZJgL4x3o2RQ",21/01/2015 02:07,0.03904,1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,CryptoTorLocker2015
