sourceAddress,date,amount,destinationWallet,addressGroup
"124yvJcUW5da2cgctQucenm2LBMKDKExWc, 124yvJcUW5da2cgctQucenm2LBMKDKExWc",22/03/2023 08:14,0.00303697,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8",20/03/2023 11:07,0.00001,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9",20/03/2023 05:21,0.00001,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9",20/03/2023 05:21,0.000015,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8",17/03/2023 15:37,0.000015,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8",17/03/2023 15:37,0.00001,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8, bc1pwegcrnjazf0a2rp9ctyak3qc4l2xgaxwmmedhgd5jwx95pkzc8aqvf06s8",17/03/2023 15:37,0.00001,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9",17/03/2023 09:27,0.00001,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
"bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1p66584rgfslzd6rfcuqm8ht3xhz8qcnwk8xgse6d2xhl5g6mspw8s72jwl2, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1pj2t2szx6rqzcyv63t3xepgdnhuj2zd3kfggrqmd9qwlg3vsx37fqywwhyx, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9, bc1prvw0jnlq7zhvy3jxuley9qjxm8kpz2wgwrd2e7nce455am6glpxqavdcc9",17/03/2023 09:27,0.000015,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
3KmPvPAP3uWmbT3NUXkYrmjAJPSduVSthA,11/03/2023 20:40,0.00071374,1BoatSLRHtKNngkdXEeobR76b53LETtpyT,File-Locker
