sourceAddress,date,amount,destinationWallet,addressGroup
19wwcaByDdrjWZXk9LkJPnmTLZoGzBt75Z,06/01/2017 10:15,0.50079131,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1PSmBNBSswG5kZQ8sHzg8bLHkAkuYgkcud,06/01/2017 05:10,0.036,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"17ELba6WDYKJZSdpZR6kpmgE8H726gaeST, 17ELba6WDYKJZSdpZR6kpmgE8H726gaeST",06/01/2017 04:44,0.487459,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"19wwcaByDdrjWZXk9LkJPnmTLZoGzBt75Z, 19wwcaByDdrjWZXk9LkJPnmTLZoGzBt75Z",05/01/2017 14:30,1.54290504,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
17ELba6WDYKJZSdpZR6kpmgE8H726gaeST,04/01/2017 16:53,0.92,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1Fb6u7FzmoYMSMcuigaHmu5kqy9DThqa3C,16/12/2016 10:14,0.62691504,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1GfTBBtEo5HtjacUqK1fWreL22ius43psS,16/12/2016 06:35,1.28195267,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1HQj4ms74wngCfpszcuztwetb6ea2XSiEb,14/12/2016 19:47,0.9,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
145ZPFR4x1tQSSSesbhVf734bwCJjCNjZk,09/12/2016 09:01,0.65,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"1Ha5dUXioixhEgsFk1S6S4Hkbc56qoGWey, 17JiWWq7M4dBF4rcbf3TxjuHPva2iJGFHo",08/12/2016 21:31,1.3,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
18ygCSZ8tkPRG1JDaZa1pZpvMZDMJW3fvN,05/12/2016 10:38,0.659935,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
19EnhimGrSrizzcwnYCzFTDMoC9EH4F3Dj,04/12/2016 18:21,1,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
17X49gHPysUL5EJprjTqYe1tudQmjDXXQv,01/12/2016 11:27,1,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1G5u5hKaP2SJop78TKm6JgGYN4ExnwAwFs,29/11/2016 11:33,1,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
3DuCYBjxWtx7avru5BuFy7LTbc49kVQdaz,29/11/2016 09:09,0.68895373,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"1JyCu4MXz3Cxk4pLS8t6JRmu4ebrzGZqRV, 12X88MzZbvXYcc5KzojXpeBnnz9WnjABkf",28/11/2016 13:06,0.68257522,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1Lengn4oHJUwNuJQRxGtw4m2Wj59bPjvhp,28/11/2016 03:51,1.35,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1H1iuZnBAZ4cNAW2PRzDrK3Y9P3nSQDX5S,11/11/2016 15:38,1,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"17xQRj11aRDTVJhCAXrQGMiCkd4QjhU23Y, 1PnCeNUDrzhuokbG5RuyordG2wzAdVMJFy, 1MuRAZM3TTv9gPWyhovwPzqesXvqtr9Soi, 1HCaXqXVXQno1kDpD1hBBwKbc6PJxm2QUh, 18fndSKdheVd93qVdpzM49nKVEZLTWjgAF, 1HPdonYDynDnFVqjac4p6fcVkZLA32aunk",11/11/2016 11:56,1,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"1EnQsGjc9CsjnrJFhDafQScYKSSbmHSPWw, 1MnyfSU8fAaB9JPmbsiTU8v4NNEBRvGzCG, 17maeq6NLUo3efBG64NswZSQ7RSPXP2Wwx, 19CZ59w7aoLAkanSxQVE38Y8vAajoQ3d3N, 1Muo6yxPTvvif7iVGdxM4cL2ihypbgLU2X",07/11/2016 21:59,0.43,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
1Ey5cMX7mdSbR8imZ6BiXiSDih56WZXtqx,07/11/2016 20:16,1,1MBwkTssJkqRvXmAFcSEZ3xTD39A9rkyYA,Globe
"3LJdqzNr3Cu75RnfeyBM3o59SSod96uNzg, 3JJKrFzoyhpCNBMTcpWffU8U7QiVd1RHTD, 31yBFEZEg5eirFW3M9ybPLx9HbSdYxQuYF, 3N54iFajBTUg5s5nuWrSupuPkkNyjeYKw7, 37nWnta83SXUk3ZGC96Ssj9sB1ikxLjzZk, 3JjSrFycmFsE717dFpWvugC9BQ8x21g5bw, 358GYztHKJvLoYGx8a4mQzCUkmQnPDX7b7, 3C72CZRdftK3We6A3djD9PpkQCLg3P8gCM, 3ARfXhyC8tCoPHJQ5bLV7VXZnsQ5nUoxg8, 37gCdbvRm81rnJwkout5zTDjxpCVkvVyWr, 3DnL7YkWkSNK91Me7bZh4XBkuBTP9zBSSk, 3Lx8qCn3Rw1R6L9Q8q2XwzztQRk7QJXrsb, 3Lx8qCn3Rw1R6L9Q8q2XwzztQRk7QJXrsb",31/12/2016 17:57,0.00167882,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1LV6kmL5BwAoZvvFtzzSGir1GHmHetdjnN,06/12/2016 06:34,0.5,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"1QL4LcDN47wU1sS8kddwzt11PFT9a3beV9, 1BPtV3RnSF1BNSX12UnoMJvLtdugfG1aiF, 14DS9yXYFeMqywHpY7tj29sa2bxR2YfCgE, 15aLE1zBzUsJUNNWQZ3z4iJhTFdRDydCBp",05/12/2016 14:19,0.3,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3Eemgx6VmdHFw2vzxJ9H7tbbQ17fe8xfEW, 3DoRP1FZQKmHardrxqpubSvvsHAPVPxJVy, 394xHmBmK8a1Po61y7Tdghfc5gCPz1VuDK, 3Lx8qCn3Rw1R6L9Q8q2XwzztQRk7QJXrsb",03/12/2016 23:49,0.00475321,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3GBfGKi97aDyuuoGTtjaGBYdEcTFqNaZTu, 33PeAsYrqHmvfB6qZSFSEwBNA8fLkaN8nE, 3FE3VWbwWqZoeAdfwdjkYmxNqKtvXhY3Cp, 39hiRWVZZn4VaVvU8q3oH3AkczSE8W7fZX, 3LXMgxeEWBJSwYJLsnGSSFoAXZNz8QGZmB, 33PXpQYzG29HnhzcVz1JB1rJTqhWbpD7zh, 3NsrLkY7EKb3bcNeg8A9dULCzuTLCnQeXu, 3Eemgx6VmdHFw2vzxJ9H7tbbQ17fe8xfEW, 39guavsK2FmM6ykaonCX6wgAWwrHf1iKdW, 35viCKgP1GrnL3CgbJAo5nhDKC9QhKZVBf, 38PtkitUbHYae7axhY81hx1EXf9YH5tDaZ, 3DH7b83RznbUtiu1tB5aeonwyLUJKtxW27, 3LXMgxeEWBJSwYJLsnGSSFoAXZNz8QGZmB, 3JdUdnUWP5tko23P3uzBGDL3b5dWsHWRVG, 36aDPWYV8WrxJVQjvJwsNvwMJgMotYU7ck, 37yY9X43pdc2zcZvCXZdPRbHbW87hLZapn, 38p5nxNrC6q3uqYBHMMVQhfWpycAtsdxTE, 39te6C2BzEANERzya2iQmFKxyWpqzGFdSW, 3QyoPPbVKUsQ7Ko1uN858gf3eBo8ovjjGs, 37jY26iSGas59zr7dxGDyqUPwE5TYoxUPT, 3JwUaWgRuCqzNGqyzRUMwBdr1tvMUukJvX, 3Lx8qCn3Rw1R6L9Q8q2XwzztQRk7QJXrsb",26/11/2016 23:22,0.00535819,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
16iyFKEJ2cmPZsWp44CrixYCzVTPRhW4GL,24/11/2016 10:28,0.5,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1PoVpU5PZd6znE5KYpXbeBv1enGtfPJwki,23/11/2016 12:26,0.3,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
16762CHQMnieToVMtoA4Ri4y2qB2nmpuGq,22/11/2016 06:59,0.19980646,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3QkVnTqeWaCWPjHBLE4ioKvQsbXiDMqPcS, 3LJyGKUiiQUV77wkvwP2Fcam1uRyqU1Ryk, 3NbrJYwXkFtMC8PeZTugBgqsVzhZz2a7jq, 3Cn8mJvxvgmoE2awY3rf8Waop4NbqHNwjb, 3QitNYyFCxcLDhyoYrdVX2fnDRkVpBDos6, 3CrMs8fhWwZVNEf4sZyfwSEHDdURpv2aU1, 3JjVcn7xHjg2FgZfoptce4kDEbvEg7R5g2, 32DuLEMdE15kj7Y5QyYRSqLjoXErEAKFsP, 3JgB2uAAZdbfaFAvFo67DA48T1kKb9jJdw, 3Pe6hhkAh99BvRrk6rkDwRywbgMEBLjSJZ, 33g4tBFzzmnvXNZ9Jt2eNSjpstah3n5xHF, 3Kkd8Gw7YeGGXcjGvNiCJ36ZuByBjrpSJr, 37QEbDWy98noe5xVhuDiUSVsPhtxjoayZn, 3AYESjLjQTgmQ1VSwHVBhEpz7LziNw24o3, 37QEbDWy98noe5xVhuDiUSVsPhtxjoayZn, 3HPhAtmaXWvaL6xKY5LAVY6Q4gvSDd8dRP, 3LTqaJDuG1QG5wDwXPsAC9tfs9v7faLSqD, 3HrUTrTaAeP7r1mbDW5iDDNKQBckbfE1q4, 3PXtrzc1si7Grspk7km4KFi62EV4AHuqxy, 3Pe6hhkAh99BvRrk6rkDwRywbgMEBLjSJZ, 3PtECfvpZtsprnuCKY1LpSt5VbJ73rGE57",19/11/2016 00:02,0.00991583,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
18aS2sf9yMpsJbqPQk9n33HfKgTUgqy5x5,18/11/2016 06:40,0.3,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3JCb3wJTLPFzY7bftTgHMqNjfXLSY9hUGH, 38ymKBTEWthN4uhyjRbew1mZx1uBq8qg3s, 3HnG6V9XmT97JUvNrfZkGJkqr3xViVYsPM, 3JTGjc1b8TVZ8Sd78xEgHrBxT5gwbwMQ1q, 3Nqhb5J1vCAd1dCGJu8Hw8ZTqG1XWidNCR, 3BAdmvmPyAN87VCjT8ySUYg4LqU4Q6BaCF, 326BsLWnB4UTBJ86DaBQS4bBxqZitxskw9, 3EWmuRZLfKAZRvP2UaT7DRyztsHigTSPdD, 39W3hK2R66uMKhffVNT4AeyRB9topbWH7B, 3Nqhb5J1vCAd1dCGJu8Hw8ZTqG1XWidNCR, 3GwfdNG4KVx6pt6s8mNje85GTA5kH1f73q, 38PtkitUbHYae7axhY81hx1EXf9YH5tDaZ, 3QgqNcsRDT98mViZXjWQYnK3d4X8rzVzMi, 3Jwz5QqfQ1FGicrWWbzdFXFPuFecpaiuYt, 38dAh94jsRGCMGAUiXurH9gtp2fnTZSxgs, 36cQiAyUWngFz4RhKSa6WXoeduBQUdGCBm, 39XFMhmVFT7BVf9Cm8hhmU9NWbKQAjgypH, 3Eyb7zGfFjw8D5a64czNoukBovFdBJDH1w, 3AYDF47HqRQXymTB4eVp28tD7ZXQMj5h9M, 39W3hK2R66uMKhffVNT4AeyRB9topbWH7B, 38coMybtLjv7BERoqi5AMX7ma81pDkKLyL, 3MTSrSKc855pFnhtUN6yifmSeFw3EX3d1c, 39NfdZYp3aVZ4qGu79PA2yrHwujRB7nHcp",12/11/2016 23:23,0.00204594,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1Ehp2cp7XY7wSBcHg3PxzsSPnVThkeMTuD,11/11/2016 10:09,0.5,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"36iALVB2sGwqMKyDa1YCCEW3qNyTNREB9s, 3Kkr6XaKFmxfWJY9U6p1XURDUx5FFcchfV",09/11/2016 19:48,0.29147235,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1FfvNtForDHwoc1dzPAGSaJyYCB1S9YeKX,09/11/2016 13:13,0.5,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3FFMNbY4T9oxezv9NmsYXKyULeRGnyE8si, 37BHoNrYWrSzPX4CgkdYXthzpPnKQWFw1B",09/11/2016 08:58,0.28740941,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
124VkooVoPmLcMsjCNZbyZg7iJHXX1pFRw,03/11/2016 17:01,0.04,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
3NvCpjwdVNs65UKbaDHicL1UXbBYiueut2,02/11/2016 08:37,0.11899877,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"39APcapo8uP1ja9FZ1JX9hPVc2jEU6hWs3, 3P1ufcoMAR21GfD3oXTwbjwhJhJSoqBNis",25/10/2016 11:15,0.32621106,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
3NvCpjwdVNs65UKbaDHicL1UXbBYiueut2,25/10/2016 11:15,0.21070375,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
3HC6qj6FG45VrcbMYy79bjGmx2Syzk8qZ4,25/10/2016 10:54,0.32621106,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
3CiRAKpgw1HUX3hZFNmZppsH2rWETuFa1V,18/10/2016 15:40,0.2408,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"363b6vjfMouo1TRk3fmh16aP1v6v5d2bfu, 3CiRAKpgw1HUX3hZFNmZppsH2rWETuFa1V, 3CiRAKpgw1HUX3hZFNmZppsH2rWETuFa1V",18/10/2016 15:40,0.2409,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"1F8tQ2h7VtShi1kPS7Yqcr8poXUiAyjBai, 1KkfWv8SoPHgcDg7jXWtHKbz7QcNitvQKT, 1Du1cLCq6pKqYFFLQP6QxaQdcCyPWuoCey, 1CZpshFXiFbmFvquNKCXBX42Es8giqoqng, 14j68df3qAzUcwWcX8rfzvKuLWvWPwjpN5, 151rG8G9uPMvRbZPUTxffT9z6fD42F9Yxb, 14tefSoZiqGxmHGsqGB7KJ52wvF88pLoqj, 1AWxphczE2K24pGgnvjwp933ymAbKNqez6, 18VbU9urh6S29v52EEAcdPCvgz9Ki6jmVF, 1BZMoz8av6ZLgifz7W4hyrz7yePGMDhfD6, 181jQVuAFujQvA3eKPD9Vc3Bd6GUWV7EA6, 1A3z85n5ndfXE8ZbLdoU5y4JnjDR587dxJ, 1PBS6C9hzTiYhHGkfDVT7hUk5gVqYE9EPY, 1H51AvsnxhiqrrmAR41xo6WwBC8wSfViG6",17/10/2016 16:26,0.49520219,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
35soc79Udkj5mWwHFY6WKNqc9RsaJbDPxQ,17/10/2016 13:30,0.180675,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1CYfaUFXpA3ZAsW1VEbQoM9qaspCYBq7M4,15/10/2016 09:40,0.32354,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1CYfaUFXpA3ZAsW1VEbQoM9qaspCYBq7M4,14/10/2016 18:50,0.02305,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1Q9aD5uzR2Jf7gDMAzpsqbJ5NcoVBqaWqv,14/10/2016 08:16,0.243699,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
18xFpzD8SF88VTzXXUjBV6ZLUHqPm3UpWL,13/10/2016 17:45,0.501,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"1GzHqQaikNgM8f5rVhPnbLZDvqHTXuTMGf, 1M2gsdHAub2C9SYw11WbYXM8MEkmJrqetb",12/10/2016 08:28,0.2947,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
15ZMcLmbMz3qQZprhGMY8SdN6ZETGfw3Cy,11/10/2016 20:48,0.23971616,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"113nSwJC61CueoRjQR6QugGrP9irthUCYe, 15ZMcLmbMz3qQZprhGMY8SdN6ZETGfw3Cy",11/10/2016 09:49,0.23974656,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"1UjYm4T3huhsogbB34CkKxuRz9gLV6ZXw, 15ZMcLmbMz3qQZprhGMY8SdN6ZETGfw3Cy, 174P2aJPMUsJSZ8fkFqgwdD7DCtSdZwYAK",09/10/2016 14:40,0.24068056,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"16ivDHaPBz4EuwGXQ9YUtVwZgxVRXEw8i1, 17HuKsBfGnsYKUmJ7ZZamEqzbg5tjajsxM",08/10/2016 14:38,0.32918728,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"368BQYUAxKjPa5vLE7xP3gaRzUDuGpvE2K, 33acg5f6oNvMLRynWNRZJ4SwMHckfLeuYf, 38oUgaNDFksVcdUm1UmaqtT3EhVsuxd6pr, 37M3LrBtvRiMYYvQqDwwiTMx7W5pkchRkr, 3C1ByY9Lc4tadceqFkZgtkARfYU9NbnGiq, 3JwUaWgRuCqzNGqyzRUMwBdr1tvMUukJvX, 3E1asLnQqpNdSaVrcDXxJtYZXggviFhDCE, 35su7BnYPcQSyTVSjterG6Qp4z9Se6sULd, 35Lz5Si2ZBN4JMdFYkEDnSdt44mQhVAPCC, 3Hs5YpSWV4rn3YBm8nSdHgZ4Sx5HHzHCSo, 3MgwAnXXpVuguw5F8VhuPFu2WCn6baesBb",01/10/2016 16:41,0.00197494,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,27/09/2016 21:32,0.00329598,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,25/09/2016 20:47,0.00497216,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1LC8LrGjX9Qeq2R9mLfzudqidnGwVvV9MJ,23/09/2016 21:17,0.02156,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,21/09/2016 19:52,0.01005072,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1E7m9T75xKbXADYzt7vQLCWYaP5hgFC3zD,20/09/2016 14:26,0.03386844,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9, 197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9",17/09/2016 21:35,0.02307942,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3LG9UB2dJKto8jiRvNvWaLgoZppavJvrMp, 3GF7tEkJAa8pD5KxvtPbwkteDrhQwpNkcp, 35zk6WGWYpsB4nJd25k8bdk4earurVfuMk, 3MJszfUiQxe26aDHpqqMW8dqSoxxgSG8FL, 3Diz5ZJA5STB9jhQyMD97fysDouSZPuTd5, 3JUTGJCct9sZQQvz3fSHRPsuAiktqHuTCG, 36btDrVS4hFxpy8QQ5auup39xLFJbn85hT, 37wDmDjvPKCVQrmndppL5kJMPvVcqTo4WA, 3DYW83PxpJpk6ZW1D4FiojiobN7RBcWiXd, 3748hWscCaPH21v8NoAYic1DQvvFbvcgze",17/09/2016 19:00,0.00290474,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1KatSriuvBcNjgg55FtDLcMXtNpTVxroVm,16/09/2016 03:00,0.03249054,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1QRrfjaVYX2DvZBGH6qLsYnd7gFEjL42E,15/09/2016 20:31,0.13,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,12/09/2016 19:00,0.01315272,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"1MDTyN53kzShaH3i3VGtEX5bG6nY6JNuxw, 1BhWaWF4PTeV45JXiU46v8kogTcToFCzT6",11/09/2016 06:51,0.04074421,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3E9JBV8D46g7EDaMaYcmdwojyuVeRW6Ka9, 3QNc2VLS3GSF6zNfDegASu4mXrEj9FLC7j, 3Ack92oCukvPwtosepHu1TBYRWH7jgMJsU, 39te6C2BzEANERzya2iQmFKxyWpqzGFdSW, 3H6r4e2fsJBiSCUdPQciTAJL6TFASewxQg, 3GRhPvz3L6QPApw72nZ97tY9YQhR5aKks6, 3NCrdKpH348jnjRxrmde2wTa9AeVB4Vtv3, 36BmnCcUpLQSUvATRRgrxMQtnVZuU5hzLc, 3LJfmidhw3ahAFLLTNpq1AeQ5SyfbJXBRQ, 3Ps7qDLvqHwddhwcd5Q4LDqAHdy8YdngVA, 3EiA4rAiHGvudnoTCcHFLL6swmVH7Jfjbj, 33acg5f6oNvMLRynWNRZJ4SwMHckfLeuYf, 3E1RUgX9KK49q16gVmdc2dX2sU73masMzU",10/09/2016 16:14,0.00878347,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1SCE3nn3siiTix24WJhkFMeLErbNFULwh,10/09/2016 12:50,0.0240615,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,03/09/2016 21:39,0.00998064,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
17BDS4eK3XUo2uDMQTSPJfDFHsoWneUxRP,03/09/2016 18:29,0.00350502,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
18p3d45Hu7FBNjHnLnztBvaSd5y3FY7XjP,03/09/2016 18:14,0.01577034,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3GBfGKi97aDyuuoGTtjaGBYdEcTFqNaZTu, 3N4q62fCTnDYXkdoN4K8Nd4VZs6GwZv3rk, 34eKvzou8dw4nHpHyYZMQ2zu26XP8BG6KT, 3KcdtrDJsggHyMhbfRrVy1ZPhb5WT4WBY5, 3Ps7qDLvqHwddhwcd5Q4LDqAHdy8YdngVA, 3BV4ad8PDYumUZUki6fc8Soe1vCxcZkx4w, 35Ev7JzxUv6dNtQshoefw2BZURLLM8Y53R, 3KQBgnMn4Fn8dmYwrNixzMCLAosPGongPm",03/09/2016 16:12,0.00766896,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
1ArG3JwEbF4WrCiEnXQXUAgQumAVzqnQHD,03/09/2016 09:48,0.04099801,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,31/08/2016 17:36,0.02951389,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
"3Diz5ZJA5STB9jhQyMD97fysDouSZPuTd5, 3QKhGqpjUc7DL8j6ytRgXpvRwHFQzyWayq, 3QR939ZWSjfKiDcHohs3JDBEnwA949HMc1, 32V5EJui1vkYhidfrHd7T1Wr3LEEQpHHA9, 3LSVuFmBkxGfyENnpaBbNwfmKQ98NjJedx, 33X4s7fDA7fcTYtdtFE7BA8utgrMMJ9H7A, 3H98QuzpYwbLBUnHSzAVUZQmmZFdKMfkB8, 39SNewQEg2jPxb87fgxLWouwYUyBbVridi, 35Ev7JzxUv6dNtQshoefw2BZURLLM8Y53R, 3QR939ZWSjfKiDcHohs3JDBEnwA949HMc1, 3LTqaJDuG1QG5wDwXPsAC9tfs9v7faLSqD, 3BV4ad8PDYumUZUki6fc8Soe1vCxcZkx4w, 3LTqaJDuG1QG5wDwXPsAC9tfs9v7faLSqD, 35S5gtGpk4EDG66R4S39mPYCee4Yn24oca, 3MvaEFd9N6Aqrm3BxxZT7YHqXqeaNVuVeJ, 34ndxwJKGhowhHM1Nu4iJjrLeLAFUrzY2H, 37eiir2HqftmQx6UpV9BxwstpZj1jdJBty, 3MTKV8z4e17r3sKrdCwPfs2ddfP6zRJABW, 3LtVLhQJAw1LpgUXRgujyGS5NDyqTPyrmc, 33MY36gJw7uAASD81y2uc67sPpy1wGMwfV, 35su7BnYPcQSyTVSjterG6Qp4z9Se6sULd, 3FctVtj46qAMFc78eJ83hdTjBuhwiGuQMu",31/08/2016 16:13,0.00972777,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,30/08/2016 19:39,0.0345638,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
197UkGfpkmdfUrs44Pkab7xBdnaMUVyNo9,29/08/2016 21:52,0.01563817,1Lc7xTpPQaH8sWcZ1JpqR3daewdhPDzDdK,Globe
