sourceWallet,date,amount(BTC),destinationWallet,groupID
"bc1qwzdluv9jke4rdwdjcl0d4t8x8q4nd0mhytstse, bc1qwzdluv9jke4rdwdjcl0d4t8x8q4nd0mhytstse",16/06/2021 23:19,6.617,bc1qmjavw2hsqdfet4mv5j83evy0z3w06rantrs6an,Conti
"bc1q8rpwrwyx4rjlat7n2usnfy3snzkvuhxuct7gd8, bc1q8rpwrwyx4rjlat7n2usnfy3snzkvuhxuct7gd8",16/06/2021 19:47,6,bc1qmjavw2hsqdfet4mv5j83evy0z3w06rantrs6an,Conti
"38jAzTAiE8FiXQH1PPEiBkurdAviCWaTFW, 38jAzTAiE8FiXQH1PPEiBkurdAviCWaTFW",31/03/2021 18:53,3.19029232,bc1q65njz3pfw9kjjvcetkexsl0l922wtd2wz2p46p,Conti
3MMc2BDYFLyQvcBVUwVMZvXF6Beg9SyQp2,26/03/2021 20:47,92.24656707,bc1q65njz3pfw9kjjvcetkexsl0l922wtd2wz2p46p,Conti
"bc1q3f5jy3rh5509kfvaxgx6kp58haueta730mxvpt, 1CA3vHVMgQVwpi1vnxTLiCVsqHjqVdy7aM",26/03/2021 19:47,1.865,bc1q65njz3pfw9kjjvcetkexsl0l922wtd2wz2p46p,Conti
"bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, bc1q45kj8fvgje2eyuzcxp6utkhjzqmvghssdy7avx",13/05/2021 04:38,50.74881968,1JWnZmkJwJSK6F21nypCAGzsR6TVhPRA4P,Conti
"3PJmhpuZPzQ9HARZkVJZZHnDFU8Hv69BVx, 3PJmhpuZPzQ9HARZkVJZZHnDFU8Hv69BVx",06/05/2021 20:18,8.00275566,bc1qtcld00s09n944yjgyjfd6ujy5gespztc0umy2e,Conti
"bc1qcxnc54t8ecyk8ew7wn6hdtp6ezuk95pqk0p6pa, bc1qc4kqzp7v00qlsfqsf7dcxhwyczt4s7akhy786e",21/05/2021 00:09,2.46426081,bc1q7ld076gjadenuvuknv2c5a9lqslfk8verdkf07,Conti
bc1qh3e5hjgnv2keffth8mv4lpzvqfatsla7fv8a4z,07/06/2021 16:51,0.68262,bc1qq0mn6wgm8wxr7j2af4j2q3t7stscesqf2afv6v,Conti
bc1qlkneme4gxravnmtev2z23v6qmypqea9smpzegz,06/06/2021 20:45,4.1433,bc1qq0mn6wgm8wxr7j2af4j2q3t7stscesqf2afv6v,Conti
bc1qqpr7n6xgfczvd07w5xwq4ujlcw9ad7tmmxp4kt,05/06/2021 17:24,4.081,bc1qq0mn6wgm8wxr7j2af4j2q3t7stscesqf2afv6v,Conti
"3JDdUMZfURiSomUoe26AUVmvpaomEuUcqA, 3QCk4hB2w6VkhgXGyys27AoFoxp2jP3gzJ, 3PhehZqqcDCUEmMeZSxqqDWbFa7Mj1H2LN",19/06/2021 03:41,9.69536871,bc1q2muhfugejgft7smu0ejze22het2rkmnpdccx5j,Conti
"3NDxf8pUrkrQwTcrcgx9z2CnHPazNcbAZG, 3NDxf8pUrkrQwTcrcgx9z2CnHPazNcbAZG",02/06/2021 22:19,4.47463166,bc1qzwe9gedyc88hnm8m265g780qy0ezh7z4va0z5c,Conti
"bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, 16mLMvojvZKPqpqvCQaJTyq6YfmbaEAYCd, bc1qzpaud6pgmfrqrmmcxugt7ue342argaeqzyn03q, bc1qkmpfylfhg5vgcxlywk7vqj6535rt5e26rdn20v, bc1q50f3c2z2r4cdlm6thjcplrcaxv3njc4x24mu4h, bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, bc1q50kfnyhte9y03jklvz39j20zuk77vcw43wsqml, bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2, bc1qj8h6uvyjwjgsvstqlezf96qlkl06tm26ajakp2",21/05/2021 19:14,5.42840261,bc1qp77llzx4q3t5dmwwwkzwg3aw30z3l924x7vlv5,Conti
"38yTLS3yg5NXZgtdaMqHq7UQa5FfqEM7S1, 38yTLS3yg5NXZgtdaMqHq7UQa5FfqEM7S1",06/04/2021 20:49,2.93672438,bc1ql8kpdvy5pns40lvfeuewz930e7nkh3xa5e96k7,Conti
"bc1qtafdgth34jyh82nhmx3m7ft245g9zrdhq0udut, bc1qtafdgth34jyh82nhmx3m7ft245g9zrdhq0udut, bc1qtafdgth34jyh82nhmx3m7ft245g9zrdhq0udut",17/06/2021 20:15,2.652,bc1qprpt8gm0h0jyj6py406xz9gucl40j8vusumaxx,Conti
"bc1qekdg0ur3qsu46lkz2j5n20nd453ddw9py8952e, bc1qu6kejzspxssg7lz93jrq6a0zflxtxm6h4zzl0u",30/06/2021 21:35,12.42944494,bc1qnf273myysxjw23g9hze4vcu3uqkget9ra70hen,Conti
bc1qr6jhdjz6e3z78caneyvnqevkpxm82x3muajyjz,30/06/2021 20:39,0.00028653,bc1qnf273myysxjw23g9hze4vcu3uqkget9ra70hen,Conti
bc1qyt85grtys5vv8amulwvttpgslfrp6f94k43f82,13/05/2021 00:43,0.01,bc1qvzs0kefvwgtx3vjdexznw0s5zq2st45uj5pyk0,Conti
"bc1qsql84rqra4x2cdkkl32xkjwjsn9j26x8nr4kec, bc1qsql84rqra4x2cdkkl32xkjwjsn9j26x8nr4kec",07/05/2021 22:12,7.87,bc1q7r8ars6zxml0k4ep5489vga9yudpvqaecywvw5,Conti
"bc1qhdylzwhahrphgx902wv5vlueppaa8gk7r9ck98, bc1qlnva26xud8dz7qvfknqn0sxpkwwktklv38njqf",13/05/2021 16:24,10.00962724,bc1qg44mhye7mzrlsqza97kgsl0kmppcvfz3lxnt32,Conti
bc1qc4kqzp7v00qlsfqsf7dcxhwyczt4s7akhy786e,13/05/2021 16:24,0.22034878,bc1qg44mhye7mzrlsqza97kgsl0kmppcvfz3lxnt32,Conti
