date,amount(BTC)
26/03/2021 19:47,1.865
26/03/2021 20:47,92.24656707
31/03/2021 18:53,3.19029232
06/04/2021 20:49,2.93672438
06/05/2021 20:18,8.00275566
07/05/2021 22:12,7.87
13/05/2021 00:43,0.01
13/05/2021 04:38,50.74881968
13/05/2021 16:24,0.22034878
13/05/2021 16:24,10.00962724
21/05/2021 00:09,2.46426081
21/05/2021 19:14,5.42840261
31/05/2021 06:32,30
01/06/2021 02:11,30
01/06/2021 04:58,30
02/06/2021 01:45,30
02/06/2021 22:19,4.47463166
03/06/2021 00:59,40
03/06/2021 11:03,30
05/06/2021 17:24,4.081
06/06/2021 02:00,40
06/06/2021 20:45,4.1433
07/06/2021 01:21,40
07/06/2021 16:51,0.68262
08/06/2021 02:01,30
09/06/2021 03:00,20
09/06/2021 07:14,20
09/06/2021 13:49,20
10/06/2021 06:29,40
16/06/2021 19:47,6
16/06/2021 23:19,6.617
17/06/2021 20:15,2.652
18/06/2021 06:50,20
19/06/2021 03:41,9.69536871
19/06/2021 05:44,30
19/06/2021 23:40,20
20/06/2021 11:41,29.9994
20/06/2021 12:46,30
21/06/2021 01:04,19.99979999
21/06/2021 01:04,20
21/06/2021 02:56,0.0001
21/06/2021 04:31,30
21/06/2021 12:59,30
21/06/2021 13:11,10
22/06/2021 08:38,46
22/06/2021 09:02,20
23/06/2021 06:44,40
23/06/2021 13:25,41.65065672
27/06/2021 00:39,30
27/06/2021 07:31,30
27/06/2021 16:09,25
28/06/2021 08:23,20
30/06/2021 20:39,0.00028653
30/06/2021 21:35,12.42944494
03/07/2021 01:37,30
05/07/2021 08:28,30
06/07/2021 00:47,20
07/07/2021 01:49,30
07/07/2021 06:46,30
09/07/2021 04:38,30
09/07/2021 08:01,30
11/07/2021 01:24,30
15/07/2021 19:47,40
17/07/2021 01:24,40
17/07/2021 04:56,20
17/07/2021 04:56,30
17/07/2021 08:15,30
19/07/2021 20:51,40
