sourceAddress,date,amount,destinationWallet,addressGroup
36CqtrvqsLEpAf7fiWJv5AGQVCabx7tBz2,11/01/2022 22:50,4.66636,bc1qenjstexazw07gugftfz76gh9r4zkhhvc9eeh47,Karakurt
"bc1qmyj7r3zlt4c8lwj8t5j46hy8ma8j3yjq2ghf8f, bc1qxd9zf6tgzwy9rkhrkxtx5nrf540k9kh49m2srs",05/01/2022 21:36,3.37534,bc1q8ff3lrudpdkuvm3ehq6e27nczm393q9f4ydlgt,Karakurt
bc1quqxl3gr0ut7lt6gpa2tc0cqr7fn2y28khydrew,26/12/2021 19:51,2.9458289,bc1qw77uss7stz7y7kkzz7qz9gt7xk7tfet8k30xax,Karakurt
351YK3pWCmXMpjCZnCR27ecJYyYr1BBFet,30/11/2021 21:52,5.16172196,bc1qw77uss7stz7y7kkzz7qz9gt7xk7tfet8k30xax,Karakurt
351YK3pWCmXMpjCZnCR27ecJYyYr1BBFet,30/11/2021 18:27,0.00017196,bc1qw77uss7stz7y7kkzz7qz9gt7xk7tfet8k30xax,Karakurt
bc1qkw83sf2quqv6k5zg2x2wscqw4tlmngkmsvz5tp,30/11/2021 08:03,0.001,bc1qw77uss7stz7y7kkzz7qz9gt7xk7tfet8k30xax,Karakurt
"32crSMNKbmHp7axJ6p28xfMn76dc2s5eie, 32crSMNKbmHp7axJ6p28xfMn76dc2s5eie",16/09/2021 01:30,5.184153,bc1qa5v6amyey48dely2zq0g5c6se2keffvnjqm8ms,Karakurt
"34xdZMdhTTM95xyKN9ixc6xsosaqoCyLwy, 3QJ5P1rV3azh9vPm8QsxAJnZP2UaYDJcEj, 3CmupByLeALuiY22GqhgzqXNvbqaAuEtsk, 3Ct5JTmRqa6JuLgvyuBoCbMrMCq4AmrVmT, 3EpVxRM5zDgbJPTGbLMmAYd3nVf7yoroG4",04/09/2021 05:13,2.97914597,bc1qa5v6amyey48dely2zq0g5c6se2keffvnjqm8ms,Karakurt
33giTdHmdicUj7aR52xtMyBv6rx5iZeo1N,07/01/2022 18:23,1.24998502,bc1qx9eu6k3yhtve9n6jtnagza8l2509y7uudwe9f6,Karakurt
"bc1qkuz6m4mmllzkzwkgd3y8x6vha59lancvvupgpu, bc1qkuz6m4mmllzkzwkgd3y8x6vha59lancvvupgpu",24/01/2022 21:47,14.84334469,bc1q25km8usscsra6w2falmtt7wxyga8tnwd5s870g,Karakurt
"bc1qf53ecaea4ffym3thusqgc2ltzgkhl055wcnphr, 1HhJBNFKVeb2HyRK594MTPyNQcBSBLbaCs",14/02/2022 23:34,5.04,bc1qq427hlxpl7agmvffteflrnasxpu7wznjsu02nc,Karakurt
bc1qh4d86sf439n2kp9ahptgma8v2rgc0ah4spjevy,14/09/2022 17:25,0.0002,bc1qta70dm5clfcxp4deqycxjf8l3h4uymzg7g6hn5,Karakurt
bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2,10/02/2022 17:37,4.37032126,bc1qta70dm5clfcxp4deqycxjf8l3h4uymzg7g6hn5,Karakurt
bc1qvf8kt5htu7dryrq62yzdxv46llzssxt60wpjn9,31/12/2021 23:49,3.51845917,bc1q6s0k4l8q9wf3p9wrywf92czrxaf9uvscyqp0fu,Karakurt
"3EGDTKZQPLDcAD3r8z9EhNj3emyjVaQsi6, 3EGDTKZQPLDcAD3r8z9EhNj3emyjVaQsi6",07/01/2022 22:35,32.14969716,bc1qtm6gs5p4nr0y5vugc93wr0vqf2a0q3sjyxw03w,Karakurt
"bc1qhx4mc6ts7lsqt2utstd6jqpgugtdmwwcye3jjv, bc1qhx4mc6ts7lsqt2utstd6jqpgugtdmwwcye3jjv, bc1qhx4mc6ts7lsqt2utstd6jqpgugtdmwwcye3jjv",02/02/2022 18:49,4.41,bc1q3xgr4z53cdaeyn03luhen24xu556y5spvyspt8,Karakurt
bc1qh4d86sf439n2kp9ahptgma8v2rgc0ah4spjevy,14/09/2022 17:25,0.0002,bc1qz9a0nyrqstqdlr64qu8jat03jx5smxfultwpm0,Karakurt
bc1qclnsqsufxplg8fncqjg2pn3sqgzzel6e0ua6yd,05/03/2022 00:33,6.34589315,bc1qz9a0nyrqstqdlr64qu8jat03jx5smxfultwpm0,Karakurt
"bc1qkuz3xlvjyffh8anv3jylx4wv0r9l9m3t5zymfa, bc1qkuz3xlvjyffh8anv3jylx4wv0r9l9m3t5zymfa",23/02/2022 02:25,5.19685,bc1qrkcjtdjccpy8t4hcna0v9asyktwyg2fgdmc9al,Karakurt
31rRHPr1AssHUZajc2w7Ya9ubYPRJFq2V8,04/11/2021 19:17,4.05978124,bc1qfp3ym02dx7m94td4rdaxy08cwyhdamefwqk9hp,Karakurt
36syAbfBwufCQ3B8Syf3Eed3S6pCRftPfr,03/11/2021 23:09,7.33E-05,bc1qfp3ym02dx7m94td4rdaxy08cwyhdamefwqk9hp,Karakurt
"bc1q2rgyg5ptlma825c7u5lv2s4m5jykyuncvn5e0x, bc1q2rgyg5ptlma825c7u5lv2s4m5jykyuncvn5e0x",07/01/2022 19:02,2.392,bc1qxfqe0l04cy4qgjx55j4qkkm937yh8sutwhlp4c,Karakurt
bc1q50c049xk9sg8fh78uhuc8xqddp8g2qmm85uu96,19/10/2021 17:16,0.57252148,bc1qqp73up3xff6jz267n7vm22kd4p952y0mhcd9c8,Karakurt
3D9e9ScGZ5NokXxfbuDtdyWbXTiyKmq9u5,29/12/2021 20:09,1.06125838,bc1qrtq27tn34pvxaxje4j33g3qzgte0hkwshtq7sq,Karakurt
bc1qcgnn2lgtt0ktzttsg5yncgjtelrrf7jv4u0jk0,13/12/2021 20:32,1.79568491,bc1qrtq27tn34pvxaxje4j33g3qzgte0hkwshtq7sq,Karakurt
3MnNK3jyfKizqpBHXze8Sxk71VbpAroZvF,05/01/2022 22:03,3.14900004,bc1qj7aksdmgrnvf4hwjcm5336wg8pcmpegvhzfmhw,Karakurt
"3GA5shYnrGCArqgfJwA7rY4QvGz35gb4Lz, 3GA5shYnrGCArqgfJwA7rY4QvGz35gb4Lz",27/01/2022 18:23,2.22553725,bc1qq9ryhutrprmehapvksmefcr97z2sk3kdycpqtr,Karakurt
