sourceAddress,date,amount,destinationWallet,addressGroup
"15pcoNwn3Az75ErSSoMN1XzpRrAYvFjvrk, 1F1PhwsbfdBogyySUh5EeWcyfhccpPQeZn, 19TjyXUUskbPypf6QGc6RQ9g2nDCqGQ2Sd",25/03/2016 20:44,3,1143t96LASL6q6UMAJKQKd5BLkeV6Q19ys,Locky
1BgPFdurz9fgzPGS5idtuJWT3DGndUmndY,06/09/2016 15:56,2,113DQh713pR9rsEWTgae9DGfVzY5f17Sbj,Locky
16dkPRiQn477dQfV1wLxMnZVmVMz9KUFaw,19/03/2016 01:30,0.5,11382a48qWatCiSqVNBFzuKN91M7Dcdev,Locky
"178o6cMWzJojXn4YgdpKxYv54uV8hbgfEo, 178o6cMWzJojXn4YgdpKxYv54uV8hbgfEo, 178o6cMWzJojXn4YgdpKxYv54uV8hbgfEo",11/05/2016 10:49,1,1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,Locky
"113pBs4pCq9B5VjKwPDwXWZH5UQBGKBwao, 113pBs4pCq9B5VjKwPDwXWZH5UQBGKBwao",20/02/2016 17:56,0.5,114DARz595UwHRrWjR2mufuUCBifgHTHEw,Locky
"1CbG1xkavWqJsorQrNCFJ9VJY9mpz2be2D, 1MoZVYtTSTRAZDP9gfToDJQP9wb8eKJM1n, 12E1X1NN6td5rMGxbi8Qu95V85HMVjdnCu",15/03/2016 06:35,0.01006531,115znkek4VL6yyBrC6nTu1td4D9n4kbgnk,Locky
1BdeYXov2WpZFQXcY6mWc68wJVXfgieeNV,05/04/2016 17:35,0.5,112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,Locky
"1jCPFFvP68wAeHRWkSqzTSjiM4b5nCDv5, 1jCPFFvP68wAeHRWkSqzTSjiM4b5nCDv5",29/09/2016 21:25,5.5,112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,Locky
"12LbU3UYrqpKFA9veeVf9qJsXqcm7VaRjx, 1CjFG1ut9feQ6DyB721j29FJLt9xMJLaGz, 1FeCxNZbCSHmJwHR7TbfZYtTP2AVTpFrwf, 1PRFYzKAwC7dpEGqnGCxNTVnZNz22jWzJY, 1EBKYcV3d4WdPDbdDBN3HGkRRm9hxZRj5T, 174aNZNSXUM3S3RVF6ruvWKX3j6sE35D1s, 1LFFxVTmQ17mR52grrcZGMh9sceMXReqth, 16f1bNXrPh9PFEFVoe8D81A1xtziKmw2R9, 1ArHNcWbwNCStHbzb4unqX4AxxPH4cGLfw, 1DdgW3aafjBEYFNF2tFfZeiFrqhYbjsbh3, 13jsojLhna3qusdgeSFkCzoF6LdUwU1Mvi, 1QLU1GEof18Zejig9o4uN4jsmyk5MAnitD, 12BBafApDponRH9K3RDtaZDxLLGFYwFXZt, 1DdUKKb29dVy6UrBgaRu41mKCf7NuTh1aG, 1ANhV7R3tdte1PJMRzjEJAJJ2bCJE59Q4N, 138dsJpMk6c17WN8LzvG1CX8zSER4FMviq, 1FndUnnksYkyBjiXTFqw6H56jc7nZtxqiV, 1EnXJ5Y1N65Lxn5kxJ7Qukh2LYJ82G5Acm, 1777eU9oM1ummvkt1bsXwQhx1vnTcw8hgT, 17YuQawJwm8RLuCpVxm6V7TbRjwa7HbCfN, 1JSbmrRnwFeUXe6U7oAoNgNH9FVcpxSggY, 1LMiqaQqMTxM4PV6SXBga7v6MrLP5733YZ, 15p1RYokbUQ42aW7MohaDFZgzMGWDAycKQ, 19WB6urs37Fgs5KC2nA1Nt52Wqj2cb1kPF, 19GeG5EcLQ34CKeKoM1koabGiLRLUsRcCz, 18AF9X6xZ4j35KkUyoJdDwTzA6Wn9zho7U, 1JBzDbSyffz5AKchmnxwFNrdywc3Kt4mW4, 15QfGabWbDNsRUVbp7amw5xe3AgsUATRwk, 1JNp7X44hskgZV3BgngKufy5s4BGtQNpKp, 1QHV3L1dfKW3KDtm7iAs79RJZiFpWkC5wT, 17PaCVP8hppzfHx9tVwiu2tnc2BNTKbF5E, 1AHqx93YvKQrxy4jGr1iSq42mFdtidyyis, 1EJeM4ndNegs3CgEv64cDnVkYAiM1F9jTL, 12ScKMigtha77W6jqjwHUF4LLw31zrCWVp, 12p5bDhLzJjyLthfY9X8FwZxnebTxdFVPm",19/07/2016 10:24,0.01000975,112igisnkkrR2rPgujxhBkTELajuNYxq8Z,Locky
1CbUivFu2fsWkXrTLT1d9c4iywqP7ty56k,08/03/2016 19:04,0.5,11445ybEvoBuFCnaYGni4KQDgKRZ3huiJX,Locky
