sourceAddress,date,amount,destinationWallet,addressGroup
"1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s",11/08/2021 19:11,0.05302546,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s",11/08/2021 18:15,0.01043,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"bc1qxxyq7tna65fh0dxgrzphkzdcuznlulnmaxsmnn, bc1qxxyq7tna65fh0dxgrzphkzdcuznlulnmaxsmnn, bc1qxxyq7tna65fh0dxgrzphkzdcuznlulnmaxsmnn, bc1qxxyq7tna65fh0dxgrzphkzdcuznlulnmaxsmnn",10/08/2021 16:11,0.03365405,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s",09/08/2021 16:23,0.00223815,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"bc1q28rgxkqm742nxzy6fmu4xahampkcghvtmtnn0l, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, bc1qjrrtqsjxuuzm259geq8rux94y795quu4v4lywk, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s",09/08/2021 15:31,0.01868925,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s",09/08/2021 15:03,0.01132767,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s, 1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s",05/08/2021 22:01,0.09837396,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY,04/08/2021 11:22,0.10490278,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
"3AhbrMTRFVNQVkxLFqVHkjzZRSWWui5GqM, 3JvPVMVXnnXe8SZGVn4b3oLDLyamEzfEyn, 39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY",04/08/2021 06:55,0.18461282,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
bc1qyzexc7sw4zhnr2a6ntvkgh7p5nrh7u34us33c4,01/08/2021 14:34,0.02414757,1LYXkx6VpUCRJazV8SJYiVDWqG6xwcyNiC,Makop
