sourceAddress,date,amount,destinationWallet,addressGroup
1FdNxq5Qc7LSLT8RkeaDqTsNu4RNkp91gh,19/01/2019 10:54,2.79993008,1Cyh35KqhhDewmXy63yp9ZMqBnAWe4oJRr,Ryuk
16DjTmFX52LqTMRkozuPrsubhFjkV5VEye,28/12/2018 17:37,15,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
"31qsN1xVXNMxJpJ5GjfyHwRiFqSUT4Vjkk, 37Vy2ujqvkaLYjAaouht8dfZnbBN4XBgo4, 3J5K1KL56UzmGSUBQc7C2PQ6TnjNS64jKz, 3ML5jxBVLDnJRjw5WTv4sunz5k9xNQ433F, 3KHoupZESuaj9rTZWZejZUsgUTJX7yRNTC, 3AzHjWpRLU6A6iJeKDs5kdBcmyHjttpU9V, 32Tco4ZCpXviWmRq57RcWMAnjW2Xi7Q1kF, 36DQHz3RtEqrQuingCjKY43LBMmwXrEYg3, 3Ey4WJQ3BF6U1HXy2KeY2xGQzyxmWWkJHH, 38zLMDLfubMEVU9Vnm2JzbjDzdMoiyaeE9",25/12/2018 07:52,7.9995,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
"37Vy2ujqvkaLYjAaouht8dfZnbBN4XBgo4, 3NDuGtLTjBEF1yj5KpsqT7C6EQhhNM4E6n, 31wrujVVhf92puvwe4uE1cDgKNc4gXuQRz, 3Pr8PMwSKUcM3LpEQTCJb5kSzM5vrVUbLD, 35ZpUA1X8TkD87VzPbW32qCEBoYdhU5VKt, 3BTcz5UGaHQs2kHNTEj7FLGzB5vrZhNSQw, 3PURDh4QqKqhKtDe7cXbkLYVM26gcJAXeA, 3HrQJtkZXEs8yb3gcgJnWSRF8KsV8icbVd, 3Du4NgWSFapeoep6k1x1RyUat7gsB1rGLS, 37F5cbPBZ9AJ2Z4kCTwXE378wYph4UJUQJ",22/12/2018 08:08,0.9995,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
16xk7woeLF69PfnTDE5TcwX2hmFpGNxgxa,21/12/2018 14:56,25,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
"36ukkHVFY5rH7eBzvfUtcKsnk3wJvXaRJV, 36ukkHVFY5rH7eBzvfUtcKsnk3wJvXaRJV, 3MKHGpyyQR6AfJaeEFieepAq4v4Vy8Wzn1, 3QDnUbBBqkE6mTSWpoLJJ6757C3vHQRK6o, 3J5K1KL56UzmGSUBQc7C2PQ6TnjNS64jKz, 3FBsYaMXd3rP69uS9pWr9zNHRjm7U7wHcs, 3MQSsVedMhuVpw2WATNQspmNED2Z8X3Wqv, 32HBmMtyZgcMCNDZzBBDLYWEySmbbAZLfT, 3Ej84VM6ZBfhZwNgNQ1t3CNy6a5CHBu4Qi, 36x46JwXL3RTxprJabzwzpCGcX31CAQmdx",21/12/2018 12:16,1,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
14E8GqHtVYUsaddF9g8KxFfFNHEdCpRTUX,20/12/2018 21:00,13,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
1NEsLvj5jheN4XeBcxg5kgoFN1WuhjMcY8,19/12/2018 21:37,5,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
3GBeax6oYcVarNw776wzaDS8S6rMmT2c5E,19/12/2018 09:48,15.0009668,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
12DxqUAbzPMy3rFUDbGv8PxnkUTENiaHcn,01/12/2018 17:17,99.99975,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,01/12/2018 14:21,0.00025,1Kx9TT76PHwk8sw7Ur6PsMWyEtaogX7wWY,Ryuk
1KEaCZfT3kMpZRdk1H4xbfGZvQXHDGRdU1,04/12/2018 20:03,2,12vsQry1XrPjPCaH8gWzDJeYT7dhTmpcjL,Ryuk
"1HZi8S3TQJtDs4DH6KDyoHFjJQsvMbMgs9, 1MQrFAPSY6o7QSQi9hr8S4KjAe7RahCNzr",03/12/2018 19:05,28,12vsQry1XrPjPCaH8gWzDJeYT7dhTmpcjL,Ryuk
"1M1tcbWTqBrpB42ZaCEbCP1a7gfJNMjaPy, 1M1tcbWTqBrpB42ZaCEbCP1a7gfJNMjaPy, 1M1tcbWTqBrpB42ZaCEbCP1a7gfJNMjaPy, 34wVdMrHZpyVBgTEZbZJKDUbys41TZhpJn",30/11/2018 14:45,25,12vsQry1XrPjPCaH8gWzDJeYT7dhTmpcjL,Ryuk
17b82q4mVVN47bnuv7pXtEaDccDSy7GSkf,27/10/2018 01:31,0.001,1E4fQqzCvS8wgqy5T7n1DW8JMNMaUbeFAS,Ryuk
3LrDWzrNJkDfdmRJujE7sf7vN5R55UmyJS,23/11/2018 22:01,15.00092032,1GXgngwDMSJZ1Vahmf6iexKVePPXsxGS6H,Ryuk
"1itczHknduNx9WzuX8CdUCMo7ShY4mb4K, 1itczHknduNx9WzuX8CdUCMo7ShY4mb4K",21/11/2018 21:37,15,1GXgngwDMSJZ1Vahmf6iexKVePPXsxGS6H,Ryuk
"1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn, 1LrGnMwFh4rqnMMxgpNPRsUAzixsa8BKrh",21/11/2018 18:04,0.00125,1GXgngwDMSJZ1Vahmf6iexKVePPXsxGS6H,Ryuk
bc1q87t3eakzvc4nfgmaec2mpqyjnnlnslaucnee9e,28/11/2018 20:21,0.00016544,14aJo5L9PTZhv8XX6qRPncbTXecb8Qohqb,Ryuk
3Qj7aMHNpVuFuHU8J8v5DkZsvt9CSYihSm,21/11/2018 01:15,25,14aJo5L9PTZhv8XX6qRPncbTXecb8Qohqb,Ryuk
3JoYDbhh7DCwEyzuVu1Cxu6L4dpPGcRn66,20/12/2018 10:21,15,1FtQnqvjxEK5GJD9PthHM4MtdmkAeTeoRt,Ryuk
3HenoJhKzFagiiq6nAhBhmEf1dbZe45EzW,19/12/2018 19:15,15,1FtQnqvjxEK5GJD9PthHM4MtdmkAeTeoRt,Ryuk
"3ChZE8NuUz1xLHCMJabdzzngJZHn6fUn8U, 3Q3T95FeXdZTE6AALyKhgUG1EwLmwKwoa6",19/12/2018 16:11,9.5,1FtQnqvjxEK5GJD9PthHM4MtdmkAeTeoRt,Ryuk
1KoK1XPRAqsJB8QnXEUXwmzgF7e4ofhfGR,30/11/2018 16:24,8.75,1FtQnqvjxEK5GJD9PthHM4MtdmkAeTeoRt,Ryuk
"37MHfSjfjref6ehMqU1kXHK5JgHPhkMyj1, 325sKVo1MroZhvFzTa5sicu8kT3fmUbuNh, 327pA7Yjbtp8ajLg5Dy1XEccW8ky6v6UjQ, 3Hmfck2726MQjhc7TAzvGY4JtsoRf5fec1",10/09/2018 16:06,16.637,1CW4kTqeoedinSmZiPYH7kvn4qP3mDJQVa,Ryuk
3CgxPposfoBJncbgmgwsAFh7UrewMQcsMc,07/09/2018 05:16,7.44,1CW4kTqeoedinSmZiPYH7kvn4qP3mDJQVa,Ryuk
14yS8N66d53a8vsD4eyez1yWHCz7WHGg2T,09/10/2018 16:46,30,18eu6KrFgzv8yTMVvKJkRM3YBAyHLonk5G,Ryuk
"3LozbeyPiS4hWS8RYMXYA1SXwwtKwDXvoE, 3Lfb9LBwDp6m6DBvNeodAcAgrSW2AFeyoT, 3ADuw1ugtPxnuGddiS3aNLbNogLFqDg3cc",19/09/2018 13:15,10,1KUbXkjDZL6HC3Er34HwJiQUAE9H81Wcsr,Ryuk
1EMr145hUmBfm6vPXShyWm29M8mRXXBdh8,17/01/2019 15:34,6.4995167,129L4gRSYgVJTRCgbPDtvYPabnk2QnY9sq,Ryuk
bc1qxuksrsnhv4hvmmmq3g4ca973cktl5y5c7v04gt,11/11/2018 14:44,3,1CbP3cgi1Bcjuz6g2Fwvk4tVhqohqAVpDQ,Ryuk
3Qe5Zr38yntGmLYGMqD7RdFPUrLdY4Vk17,11/11/2018 13:30,10,1CbP3cgi1Bcjuz6g2Fwvk4tVhqohqAVpDQ,Ryuk
3GvYw2DjkR4vzmF7HMEzZw7qhm8SgVsQXW,28/11/2018 12:31,10,1NuMXQMUxCngJ7MNQ276KdaXQgGjpjFPhK,Ryuk
3CrdBbxmPPJ77otzuKcdfpH3V7wFUYx2es,26/09/2018 18:17,30,1C8n86EEttnDjNKM9Tjm7QNVgwGBncQhDs,Ryuk
1257odCrrCkEczR9nhPodH8e7AC8q6Dy4F,21/09/2018 15:37,0.00821708,1C8n86EEttnDjNKM9Tjm7QNVgwGBncQhDs,Ryuk
"12UYEwmQTYi6zQt8ueEwyvEAgn7yCezfCr, 1D4YSN76JP4NrhBcczU8keBvA3xmNi24LC",26/10/2018 16:42,4.5,1L9fYHJJxeLMD2yyhh1cMFU2EWF5ihgAmJ,Ryuk
"1Jbv8t9xxrNp45QKdQeTtLYfUxDxMAXB5F, 1MYSHpmWCrJ23NqHBaYTNMbhh6ARw8A6nD",26/10/2018 14:05,15.5,1L9fYHJJxeLMD2yyhh1cMFU2EWF5ihgAmJ,Ryuk
