addressGroup,minAmount,maxAmount
SunCrypt,7.44842773,7.44842773
"Comrade Circle",2.03320001,2.03320001
Ecovector,2.0,2.0
XLocker,1.0,1.0
DMALocker,0.6,0.6
Jigsaw,0.32,0.32
RanzyLocker,0.21,0.21
Qweuirtksd,0.08,0.08
Decryptiomega,0.05,0.05
Kelly,0.05,0.05
"Black Mamba",0.0399,0.0399
Avaddon,0.0241,0.0241
NullByte,0.0172,0.0172
Bucbi,0.00896,0.00896
Exotic,0.00638312,0.00638312
LockOn,0.005,0.005
Phoenix,0.00256772,0.00256772
CryptoHost,0.002,0.002
7ev3n,0.00111225,0.00111225
CTB-Locker,0.0001,0.0001
TeslaCrypt,0.0001,0.0001
WannaSmile,0.00001376,0.00001376
