sourceAddress,date,amount,destinationWallet,addressGroup
"3NSagY1wAa5sLUqprAkARwiWgyWQ7mSy8J, 34aDc6V6ZivG6uEy43Y7AN2LtsVEY4fzYZ, 3FEeXLY2jdD6GXVSRAHDXf3i2cq66tV4p7, 3CaWdSk9xWHC8iD7PJAVDB58i18Tp87Ax9, 3MnSLTi2XAYadGPfyiCdtoLyJyQdxQC2i2, 3HjwKJUVFYjD3Psa1ngZr9YnR3UVomGcBs, 3QWcAQ8AtRZNaRDzw6VinH31urBAMDGtgr, 3H9acY5Lc9Fpo6TrFuHqgqmTcvAYJC46u6, 1PaQPpetU5d5sVm1AfGUuFXdzP1Q7qMNqc",22/01/2018 15:15,0.08971474,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1NrXAPe3iNvBHkuz8X8rLrRdzvV7oUwmMR,15/01/2018 15:06,0.07928503,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
14i4EGW9UqAYqu74N34auwjuNdjbgNcTkz,28/12/2017 10:33,7.02E-05,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1KzqcNQnH72y15jaqxkpQeRDcg9sZTZGM8,23/12/2017 12:17,0.06210416,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,03/12/2017 18:31,0.00922118,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"378p3u4RN1HTEWFkiTK27zuBWbx6eLSX6p, 3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC, 3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC",03/12/2017 18:31,0.00336976,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"1AcaLqmJGwmeMiCXuW6YbAVzSxvstwNCga, 17CEqX8TegxjSzayxYT36wjXjDfhoZWRVv",18/11/2017 02:57,0.13505463,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1Ce7d35CYFY6fgfzSkjb7BCn4BHbWpj43W,04/11/2017 15:57,0.17082291,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1G7PxZLPxQUiH8ft2K3SawPA4eLFaYxqin,21/10/2017 16:56,0.17083147,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1ByJW1mfj2qtam3KFpoK1Bxd9PbmnibQtk,07/10/2017 09:01,0.25657447,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1FSetQriREsM2yNP7EKFkx6WrzzVpiNTcU,16/09/2017 16:06,0.17053447,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1JMjG8SQ29CFhijSzFrSoWwHBVKX98hGmU,06/09/2017 04:59,0.07082926,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
187DCzXvp93G2hDC9n2fvGznMuGBwGXKxZ,05/09/2017 12:49,0.42088446,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"1Crf1VLmPz8z78CVZfaQ4Vghs22SveYyv1, 18owQqLZsbyMYcfYBgJm8N3AYSh6CZYQj4",04/09/2017 12:07,0.50228372,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"15jZmNEN69TrJmji7nJSBvzZZJcD1DKCbG, 1HFpvrvj3rBiUdyLk7hc5Hv4v2ymeYANFg, 1JLDm8raLGf6PAGvg7VEqgaKSuQ83LGX6s",03/09/2017 00:48,1,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,02/09/2017 13:07,0.170848,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1BCbS6vDbeyL5yXVPAw3iBBvTiyaP12Xde,01/09/2017 15:19,0.09815415,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1M3EmaoT6asDVjpgusCLYw7WiM9bBnnrnG,31/08/2017 14:11,0.0376,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
19PLQhH8XjHE6zwzKQuwfCabrWXeF2FwqQ,31/08/2017 13:06,0.4178024,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,30/08/2017 16:15,0.46,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"3G7N8fxedn81YP7wLJ8mFxf8MxUTDVSGTz, 3D2AQU4AT2NeSgyK5Z2nsnoFKTqqaYNTXF, 3KDvoEouuZ8ewUYRbPLzLuPEykdRj9hAWi, 3PN5rmF5CxV33hj7tczzYs68b57VbVEwwz, 3AQJqzVe85ta5CnsDPXddMxHuqXhV4rNaA, 326DgM2u3F34ZLcUUFes4TeXdiaVCNus5h, 3DSf6nDsGmKb2yqZugw4zEbJfdy8HYV1im, 3Qq9gjRakJmPmTEDRwGSxNCk2kQw5C7tt6, 37BRN3a31Mbsv8JCchdQbEZB7RV83EZTPm, 386T88Sza22uASPrBZJgWnXHYM7igjw2hJ, 358jRQJSdFjeNP8QGgTKB1pR5t7Pv8Zwy7",29/08/2017 09:22,0.485,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"17A16QmavnUfCW11DAApiJxp7ARnxN5pGX, 12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P",21/08/2017 17:26,0.16741128,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
"1MiSCCBef2cGoK9mDQDLhY6TpBQyBbw6kf, 13Wch1VfUTjxga7kXF1XHnishkvevcW3eb",16/08/2017 00:42,0.7351312,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
18kiots2GvjpVFUNDtxXx1qjcqFz6Zyp5W,14/08/2017 11:36,0.50092193,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
38Mqbas9Ac1twFuw8hkf6fZFt7Fg5CVUuy,13/08/2017 15:46,0.521,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,07/08/2017 17:59,0.1787126,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,21/07/2017 23:36,0.2164054,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
19CGa1QdNrCy5w5FHvMtjSXvzXwmbZxb81,13/05/2017 06:43,0.00208729,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,11/05/2017 15:25,1.02269025,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
16jZSoDMF9aetbh3K8RkS36bgtmttctL4y,06/05/2017 16:01,0.00131438,15n6gV8QUBsy2yh7wqLppWG4Fw4gsUTNAj,SynAck
