sourceAddress,date,amount,destinationWallet,addressGroup
bc1q8l7lcr5gk90hg5pkxaur9luwz74un6hzcazdkn,01/10/2019 11:38,0.95704255,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
"1Me3e5t9jYrcAUNr8BPrk32iCKxEwFDDGS, 1HR2f3AkXMi7GcirMEz9nwpihMnGsVkoUz, 1P48bakoNs1SuAfLDd16qn654HZknzVdKR, 1EqS27z4RckWmDtWfS7FKwE4f75iNijp5P, 1Ldz6QYgi7JU99zz5NuJTGh11sapziyRtk, 1pfZLaNmfnHgA76zTDhVY1dRSeGgdXTqw, 14kkt1JihnDyCZiebXVVHcrCenrjYGVFv7, 128C1udHe8ZtWNVLWMWme9hTVgiTq6ueqM, 1RvYFhktcTEp137v3QSZEy57e9u77akGb",30/08/2019 16:26,0.26,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
3HU2TLEQ1UhoUQTdhduajh2NKqV6ftDdkp,28/08/2019 15:19,1.40994,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
bc1q582nqkrwhz4vxxltp4yrkx2zt7vf7gll33syxs,27/08/2019 23:26,0.29614435,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
"18HD1toFiypP4nMu7kZkKBWozePpM9WgS4, 18HD1toFiypP4nMu7kZkKBWozePpM9WgS4",27/08/2019 10:37,0.6,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
39sjSRQE96yBBjqh4QfrWtigHSx9NpFMmy,23/08/2019 01:24,0.28915569,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
bc1q3t43q0y0wr5p6fx67zuradf6430n7jua6ekcv7,15/08/2019 11:50,0.39474963,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
bc1q43zdycn9ynm4v9037f57gzly28l47n405wxrla,13/08/2019 09:38,0.00177078,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
"14EQfv8VjbSkCDTRLsx1tGUUS3rXtDRYRw, 14EQfv8VjbSkCDTRLsx1tGUUS3rXtDRYRw, 14EQfv8VjbSkCDTRLsx1tGUUS3rXtDRYRw, 14EQfv8VjbSkCDTRLsx1tGUUS3rXtDRYRw",13/08/2019 09:34,1.14934156,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
1Hrtd1MNU4wEwacdQMA48gVQo9iW1ntSLV,09/08/2019 12:54,0.68657447,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
bc1q4a4zatwwl3pllmk2qxxlxew5wtu9pfqd80f0c5,31/07/2019 13:39,0.74258352,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
bc1qlfc3pyc5x6dq26hz68kphwgf3t4zk6tktzwx0f,31/07/2019 13:30,0.00074341,1NeXSHC2apVSiabH2QqxWLMqv2K7Z7usBX,Tejodes
