sourceAddress,date,amount,destinationWallet,addressGroup
"3Gw6b57A3E34nAph3mzGbKAj8sTSgD8GP9, 35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw",01/12/2017 04:47,1.40192282,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
1CS4RbUchvahCgnbxypFZ5gUAmw7s9FAGJ,30/11/2017 23:29,1.5,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
1kYS4ZMbhtBoEurmCtU4BiWSh5ZkWbHxS,31/03/2017 20:13,5.64,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
1MaazLK4eJisf9RavFExQgtK8moFZV8xj6,17/03/2017 21:11,1.88,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
"1KXEWeTkMzFtdT3FJsFgpWttGrLLdffAqQ, 1FmB3B5KqM3YYzJ2dEHAJcDKjR2NqEpeTT, 1PCWzBDxcbuBHSnK3pYE6Q1xsZqbgNvTcd, 151mQa1e5gizxbsfKwLhcGYAUjVnTHa9T4, 1JuUvRpD2Z4ZvR89Q8RZqm9ZuReXbcuSjm, 1HDoNb19B14GRuwNhqtL8uBEod98CykUGh, 12jxTwV4NrCgoboHiaaRJYLSu9oJ776e5T, 1FvJ1e7UzVJSsJbZeyKJ1t698V6JUV4o79, 14m1PgTPj8ew2HRmuAjmgJQmEM3MbtmMUd",17/03/2017 17:19,1.88,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
16GjcWHV1yrZYKm1LVSCvvm16QNcnDVf7p,15/02/2017 21:23,2.82,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
"377CY1m8W2qbQQX5HHjziimdh2faGjDeLv, 35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw",05/01/2017 16:48,0.00066313,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
12ocdQCLAaQM9ZQpzYHSsjPUUN1XJuj2nf,05/01/2017 14:40,1.88,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
1EQMGcZHkph1SQWanZjRoH4oPtR1ctvojd,10/12/2016 21:36,0.94,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
"377CY1m8W2qbQQX5HHjziimdh2faGjDeLv, 35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw",10/12/2016 06:03,0.00078118,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
"1RnVjh6jHWsMw8kYCva84RCPkizEhdhWo, 12rXn1GzZbCioptrcVhgQHMUYQqpREaDnN, 1GBwKK3Bfm12hr3srZQECK5infkzRrkA6S, 1C8YkfbtteFTTWvV615Yph5ch11QtPGN5M",10/12/2016 04:37,0.94,35iCvpMMnUWcSWrYtLJLXqe9xo5CYEWRhw,TripleM
