sourceAddress,date,amount,destinationWallet,addressGroup
1M2QpWb7xspmtYHgVmGgrewWPBF7SjPCJb,"2020-11-14 07:08:23",0.0372,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
bc1qrp9wp5e3404g00msqpmfcr3tg3zytlat3yqzq5,"2020-03-07 23:12:48",0.0002783,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
"1NxuVvuHatdTeZRW5EmEXhxUrPUQNrfGk3, 1DQnu1gb4JpHNyfwEHKbaWyov6JrEJGxHy, 1JhhEFfCXwXirM5JuzrdeaSWs1LUvHzaqS","2019-09-01 07:06:29",0.03011781,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
3Cyc97jUu67hBtWZe4dZt2tY7rVBLUr6ip,"2018-12-29 11:52:50",0.07766226,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
32H17mJievk3VRVYN8Bw6YczsmirTppF3e,"2018-12-29 10:28:42",0.05194346,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
18FPRjo9zgxJwUDonpBfLiud4tntWPxuP9,"2018-04-09 18:44:30",0.00036637,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
3422VtS7UtCvXYxoXMVp6eZupR252z85oC,"2018-02-14 13:51:53",0.06,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
"3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 3JWX3wYwf69pMz1yCDoefeWXNYM2guuq3p, 3PQBPN4dmJd8e5BxTRoaMjibxTMKUznScC, 3JS6ctr6ub1BvuJguFLXogTDB66rPFjj6G, 35dfTWjVtiRf45pyRF7kqMAt4SubfZWhsc, 32NuSgHrC7Ek7aELZxjeDwjN1JgtvJnRZw, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 3FMH1wz79MnwhoBEHwsKf9U77dwZJAjnDX, 35pgdWa4YC8pHsCokojufH26XPDB8dALDk, 35RrAEGUHYJ6rQVCBxQpTPcMjyhy3nqcJF, 37neGNF8iUyNNSQHMihuKsDoa4cbmczAt8, 3DYydPtqSfP2X2TthMnPoTvfnhxLnWNwdy, 36c3CbVw1BfaYV8myf9Xxw3hw1ys32AQR4, 3JSvgmTKPjGz8s6fMfeYgx8416UVFqMcLe, 38uxTcgKpZ5xM8X5jZapyE3NyvAyhhnpgq, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 3EAZrqVpiedjq32K7iFLB324bmCZJgFXSz, 36pQjvNMRiufycBCbyGsFZDRey48Xpqcgu, 3CERR8Bnh7eZ8LxYcvVaANDZLWDkMWbkjV, 33vSrDUwHDwLGYMLSTMUkdUGPZzfZKJG6J, 3C6JGfk5qezq9sgZXRcsx8AxwU6UWC7Pi8, 3QSug8cqeBpoHrETFNQmk9E8oR94V8Y3Qh, 35w4gfdqf8wb9T8adnvB8PLZDxav67eSr4, 3ChrGXpjBXHqcNCUAwBph54JzC7xgU378M, 3E9rVEzeiZKuQTkqaidF1L4LLLQpH8JM2V, 3JSvgmTKPjGz8s6fMfeYgx8416UVFqMcLe, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE","2017-12-11 14:46:09",0.10772567,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
"36pQjvNMRiufycBCbyGsFZDRey48Xpqcgu, 38oVutyWRTjriBwQhesPbd9Ezz9LDD1mAe, 3FaHDkfUwB6Fq9kYs2fh9jrnA9GnoMRYxW, 3KTLu7PPPv5mw4bpnpEzCGNfkwC9u31qSg, 3894qgkfRxD9dMdRzigVmxu3oFPw9t2rG4, 36pQjvNMRiufycBCbyGsFZDRey48Xpqcgu, 3KZiXdhDsC6R3xKPwkywqJRW5327UtCRwN, 3MmcSAPWezi2k4ZZfRwtUjXJn5hJaqa3XE, 35DRq2KEPcoRgfkXbP5qDoSda1SoWgNwuu, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 3JSvgmTKPjGz8s6fMfeYgx8416UVFqMcLe, 3QiakksPZ2dXaXS74oH2TBrYi61A2Ady9F, 34hwRq5SXL1ca1tisD3wG89mfdmKkGFv47, 3JVMmaJoUD1jaWH3n1J8EZ6nHJxkk9ff8Y, 3AHP2eW5smNXiukNqLee8QFEytGZ923Mj6, 3JSvgmTKPjGz8s6fMfeYgx8416UVFqMcLe, 3Pi3wkkKyyhp3GwMXjZbma6aodEPvLJKdT, 3GqJfypeVz5DB1EmLKYAojawuf4YLCASkt, 38QWtDSt3SKDJjb5ni6bUpycAqa7rNiE8S, 32oqomYfEA6j9tBSxARKeJzJxnGFy95xkN, 36T6grhLXV2UiFMKthhd2eyeDPnzkKRPNg, 3JZwSrXqrzk2A7UkYmsptyjwVpkMPdDXKe, 3Ns4aMmJrzcnmNqozRRxvwghhpLh8Z41Yg, 32kQHWWXirNpPquk5ijdqjPWKjwF6F8Y4q, 37uEb5piGca7SCHWrJD1EosvYqL2Q47jGC, 3LtKRXNwhHDbfZBH1cXEt8zo3vMQxLMzX8, 34EVAqq8mhMZbNRe5oHWHzngtTSwmT42iJ, 35ofsLd9izLsunQcDfhDwn3WcV23LVyyy7, 39JrRni6wC8tEF4VFfJ4gtVmwN6cWf2sZq, 34hwRq5SXL1ca1tisD3wG89mfdmKkGFv47, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 3PJf9xLejoRJrNzNc38dNMhrsR7uTRty5w, 3CytyuRbmhppr5vnHdS9oQrRB8648fe16C, 3KAPuFZJEuigNBTHF2DBJjXMWVjxFy2W2w, 33yiNfBnkKHgN9TTS1aT1iN7j44EHFWigF, 3BqWuLhSgw94c6dgAfwvTXUBb9Y4h6c4ZH, 3PUp7mXkeNVh3UvNVaYuMVDZDhBktYHTbu, 3HGn9XqtRJGv98N1wRdQ2tmyEQoNs17WZB, 3N8gkJprCbKtDHZZnKrZWuho4r66WmLRfY, 3DnByQ6HVhcFLj452uxWDZ7ZefSxQ6SsWE, 3GBMxpbjD98cSwRekVnbpGwcQhpfMcDXDM, 38kzPPZaemtRBg29wxTKcp2umAxZ7YP8U6, 36QHC8V1ZCyN8pBKD3bjD3fnk81rYL4dyx, 36u5jGbo6WCm1ZANcRnHNZYEo3TvgbM8wG, 3D25SWSfcypn7ysmo6VQVn2yPP4zahEWkG, 3EDPvnyH9RAVmZqzBrjserjBerkwLio9tE, 35MULM3jC8iAzLPZhPSWELrt6EPLJEYQZf, 33J9ynnQjiUj69d7uMZeJVxnLjBunCgbZV, 3JgsCdw6VciCMCFohbYd9DP8zbhKwsFqw7, 3MPunhiizZBnBK9iFXhMfg937tY56RT1dr, 32RQLBAMSndugVSjA9kyeV4AjzfXXJQ2gp","2017-12-11 14:34:37",0.01173005,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
1N4CsydtBV6WbrfYgXKWXkdYguG8LxuECo,"2017-08-09 14:10:43",0.09,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,WannaCry
