sourceAddress,date,amount,destinationWallet,addressGroup
1PqZGUouFZyKvioYwGVofJp8p9ZsXJTujW,28/06/2017 10:13,0.19771129,1Jx89PqW8nUARMabarDc86Qc3NfsUgH6q3,Xorist
"1CW3dGGBmzgSqDCF6zmCHK3ybEatNxYpMU, 14QeRo5eDdU829tHEUDDwjWzKicd5mAr6m, 13FsQkAYHiH7ZwQunpdnoNjWCGADvmt39u",17/06/2017 18:25,0.12380284,1Jx89PqW8nUARMabarDc86Qc3NfsUgH6q3,Xorist
"1Ge2eBkt5a3D7V3R6RrrrZCiBDS6jmyeQc, 1D6qZDUmTx3UZxqUqGVf3ucPVCW8CR4EK9",26/05/2017 22:03,0.10228262,1Jx89PqW8nUARMabarDc86Qc3NfsUgH6q3,Xorist
1B2NtbKzFFjiuGb1jFjcrVmQg2YkqffmqZ,08/07/2017 07:42,2,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
1CJDZxbvRDPD2EEu6jUqnPhJbponLf8Un2,10/06/2017 09:00,0.0960255,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
"1N52wHoVR79PMDishab2XmRHsbekCdGquK, 1EkkkNL8JrivwdBfEDHa3AKncSzCNXYaiC, 1BDhEeouPzdWPKNAvGrdA8kombQoU3sKrP, 15xZCyoh1oLzQBK51tx8sLHbGFAPaFZYUi, 1NXffGboJjRrmxmsHQa7Z3Goier96wK74e, 1ABbkrzgkA3CHPzYLZdjD7UKGsjWDeAN1S, 17fpqwWwZV9WUeom23kQMxyHtWejG2tPC5, 1Pz8Ky8ab6Xb5G8GUPMuXdFUG8rtSzog21, 1Dsz7JA8bDAtjnWw76iL8AoFRngwn592kd, 1BKNWwpSudFUUS3xuos5MCA9SaAMMYBfKm, 1DeoA4Vv4xzC5ur7rZKQhjDfSexRqgduiQ, 1JDrJL5E31GudfMXbZJ9CVuEeodxUgoJgB, 1Hi9XeoiZi7AG2TZGKMbcqm3EMvmpdxU6e, 1QDF3F38LQsV4vmCVWUamrXewx386cD8v6, 15qgJ4W1XjvNKT63tPhVbUbBbVLbxXZs8K, 15VdFxbb6TCqaBzXrSauc8cs1brchkdu3M, 1Fwogbdv9Y1gsaPRoLp7aGWUAAfKUaESq3, 18Qsvhp5iAzqPwJhJFEgNKBos2EycoEkcx, 1AnHCz9uit1upHj7f6TzsLiubyDkKXXDSi, 1A6YYb9QKTrNXuzCFn1B7hfSVxdpiMx1eV, 1DeoA4Vv4xzC5ur7rZKQhjDfSexRqgduiQ, 19k9rW7gdfzvzuC3S8ztYVdruehUWtD1t, 17XdzQDfDhDgQ3URpFBXu5GcVzUqXiY5tv, 14Ec8g6G32Qb2Kxqt6sZ8bp4hPM5UNwSRK, 1BAcbuwfdNMCSYFjHSj8Jqu85a5TstP3TK, 1Hg3F8d9kE9q7Li2qQjXEPb3PsRZnZujmN, 12qAcuLg1LeCxW3XXfBKdme65RtFuFwk6A, 1P7JzvCkwyK1Vreq13G2ahWauUxayuzFe6, 1Guiky8qxFvr5CS8emhtAbxF7Xw41MyaTJ, 1LsvLXYWppCu68GJv9jV7WkHzqWzCHtuog, 12fUT6f9dq47DKXzy75jQ7fRyXRQMyrC2Y, 1Fpv2tD6UXLqD7ZaNt93hED9uQzhtXupA4, 18Tv8sLZFev3vUkBAc9WrN3TL1qDA1FSRC, 17te4imCbVsGakU833aQePn5mmzgyMidSX, 1CK5Yskk6uDZoDccosYer4iDak3QaNSYMP",09/06/2017 11:43,0.1778,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
1GdBySgn6v5CqXVcKyAxG5YWoBCfyFTcqF,07/06/2017 22:09,0.3557,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
1KGLGQn8mqFgz4Jr8WaCBvAmqaJKP52ZQY,06/06/2017 23:14,0.04685,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
1J8ZM2o6tXMFPhuh8Wy7Pu8UwW3HU6Jkfb,06/06/2017 09:41,0.002,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
"1CRG14gVtLuq4Du9fL8wfNn1t5eNwjNxJq, 1CRG14gVtLuq4Du9fL8wfNn1t5eNwjNxJq, 1HzgpCT9CdQeG6fk4sH86AueRvgQ9QuV1q, 1CRG14gVtLuq4Du9fL8wfNn1t5eNwjNxJq, 1P3j7ZiD9LZsqnKzPgA13Hj9WqWUVwLo9y, 1CRG14gVtLuq4Du9fL8wfNn1t5eNwjNxJq",06/06/2017 06:51,0.069,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
1KZMTL3MhR2WLJWVHx7PtdfRiheJvhx8ZG,06/06/2017 06:49,1,1NJNG57hFPPcmSmFYbxKmL33uc5nLwYLCK,Xorist
17X12ms5bnBCEfkgQCTTTa7uQq7irdzNbv,08/09/2017 21:47,0.02404424,1B8G2L24xbn1sDbPurUNGMXwZWFgVXuYQv,Xorist
