addressGroup,walletCount
7ev3n,1
Adam Locker,1
AES-NI,1
AKo,1
AlbDecryptor,1
Alphabet,1
AngleWare,1
APT,1
Avaddon,1
BadEncrypt,1
Bagli,1
Bitpaymer,1
Black Feather,1
Black Mamba,1
Black Matter,1
Black Router,1
Black Ruby,1
Bucbi,1
Buddy,1
ChupaCabra,1
Comrade Circle,1
Cryptohitman,1
CryptoHost,1
CryptoSweethTooth,1
Cryptowall,1
CryptXXX,1
CyberSpLiTTER,1
DarkAngels,1
Decryptiomega,1
DMALocker,1
Domino,1
Doxware,1
Ecovector,1
Encrpt3d,1
Exotic,1
Fake Globe,1
File-Locker,1
Filecry,1
FileCrypt,1
Git,1
Gula,1
HelloKitty,1
Jigsaw,1
Kelly,1
l1me_expl0it,1
LamdaLocker,1
LockOn,1
Makop,1
MountLocker,1
NullByte,1
PayDay,1
Pgpsnippet,1
Philadelphia,1
Phobos,1
Phoenix,1
PopCornTime,1
Predator,1
Qweuirtksd,1
Ransomnix,1
RansomPlus,1
RanzyLocker,1
REKTLocker,1
RushSanction,1
Sam,1
Spora,1
StorageCrypter,1
Stupid,1
SunCrypt,1
SynAck,1
Tejodes,1
TowerWeb,1
TripleM,1
TrumpLocker,1
VegaJamperBuran,1
VevoLocker,1
WannaRen,1
WannaSmile,1
XLocker,1
XTPLocker,1
ZeroLocker,1
Zyka,1
Avos Locker,2
BadBlock,2
Black Kingdom,2
Chimera,2
CryptoLocker,2
EDA2,2
Flyper,2
Globev2,2
LockBit,2
NoobCrypt,2
Razy,2
VenusLocker,2
XLocker5.0,2
DarkSide,3
GlobeImposter,3
Nemucod,3
NotPetya,3
ThunderCrypt,3
RagnarLocker,4
Xorist,4
CTB-Locker,5
Globe,5
TeslaCrypt,5
WannaCry,5
HC6HC7,6
CryptoTorLocker2015,7
Globev3,7
REvil,7
DeadBolt,9
DMALockerv3,9
Egregor,9
Crypt Console,10
Cuba,18
Karakurt,19
MedusaLocker,20
Qlocker,22
Conti,28
Maui,39
Ryuk,40
SamSam,48
Netwalker,66
